,Barcodes,9-13,10-13,11-13,12-13,13-13,14-13,15-13,16-13,9-14,10-14,11-14,12-14,13-14,14-14,15-14,16-14,9-15,10-15,11-15,12-15,13-15,14-15,15-15,16-15,9-16,10-16,11-16,12-16,13-16,14-16,15-16,16-16,9-17,10-17,11-17,12-17,13-17,14-17,15-17,16-17,9-18,10-18,11-18,12-18,13-18,14-18,15-18,16-18,9-19,10-19,11-19,12-19,13-19,14-19,15-19,16-19,9-20,10-20,11-20,12-20,13-20,14-20,15-20,16-20,9-21,10-21,11-21,12-21,13-21,14-21,15-21,16-21,9-22,10-22,11-22,12-22,13-22,14-22,15-22,16-22,9-23,10-23,11-23,12-23,13-23,14-23,15-23,16-23,9-24,10-24,11-24,12-24,13-24,14-24,15-24,16-24
73,76,183,286,5761,7,120,1,1,0,1,284,6737,5,3923,4,1,0,0,366,6634,6549,2085,4,4,1,170,59,11369,15382,15573,14,1,5,234,34,4822,16137,13360,4,3,4,194,41,5975,13238,10647,5,2,0,0,1370,131,40,248,0,0,0,0,731,76,218,3237,2,0,0,4,1337,8934,6812,268,6,2,1,7,3058,14491,20811,16638,10,3,2,4,623,11229,19973,18143,19,6,6,1,3694,8744,14929,10884,13,4,0
74,77,202,130,65,0,1,0,0,0,0,173,39,0,0,0,0,0,0,146,27,1,0,0,0,0,337,9,0,0,0,0,0,0,437,14,0,0,0,0,0,0,356,18,0,0,0,0,0,0,0,321,16,0,0,0,0,0,0,197,4,0,0,0,0,0,0,280,25,1,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,78,115,93,21,0,0,0,0,0,0,134,3,0,0,0,0,0,1,139,9,0,0,0,0,0,188,5,0,0,0,0,0,0,223,19,0,0,0,0,0,0,182,7,0,0,0,0,0,0,0,124,5,1,0,0,0,0,0,64,0,0,1,0,0,0,0,96,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76,79,74,78,32,0,0,0,0,0,0,151,12,0,0,0,0,0,0,161,123,45,0,0,0,0,150,3,0,0,0,0,0,0,225,7,1,0,0,0,0,0,168,1,0,0,0,0,0,0,1,230,3,0,0,0,0,0,1,130,8,0,0,0,0,0,0,245,283,1,0,0,0,0,0,6,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,80,286,75,5,0,1,0,0,0,0,65,0,0,0,0,0,0,0,88,1,1,0,0,0,0,185,8,0,0,0,0,0,0,171,21,0,0,0,0,0,0,207,9,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,81,200,44,5,0,0,0,0,0,0,45,0,0,0,0,0,0,0,50,2,0,0,0,0,0,102,7,0,0,0,0,0,0,75,3,0,0,0,0,0,0,70,1,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,82,157,129,33,0,0,0,0,0,0,146,4,0,0,0,0,0,0,138,6,1,1,0,0,0,171,6,0,0,0,0,0,0,253,19,1,0,0,0,0,0,213,1,0,0,0,0,0,0,0,178,7,0,0,0,0,0,0,73,0,0,0,0,0,0,0,108,4,0,0,0,0,0,0,6,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,83,195,168,36,0,0,0,0,0,0,202,26,0,0,0,0,0,0,206,12,0,1,0,0,0,176,12,1,0,0,0,0,0,164,29,2,0,0,0,0,0,227,23,1,0,0,0,0,0,0,335,6,0,0,0,0,0,1,125,1,0,1,0,0,0,0,139,4,0,0,0,0,0,0,29,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,7,0,0,0,0,0,0
81,84,172,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,142,4,0,0,0,0,0,0,91,3,0,0,0,0,0,0,97,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,85,117,188,31,0,0,0,0,0,0,221,0,0,0,0,0,0,0,235,29,0,2,0,0,0,252,13,0,0,0,0,0,0,199,19,0,0,0,0,0,0,203,4,0,0,0,0,0,0,0,297,2,0,0,0,0,0,0,68,0,0,0,0,0,0,0,206,10,0,0,1,0,0,0,22,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0
83,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,87,221,119,7,0,0,0,0,0,0,175,1,0,0,0,0,0,0,179,1,0,0,0,0,0,259,7,0,0,0,0,0,0,268,48,0,0,0,0,0,0,223,5,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85,88,120,373,171,8,22,0,0,0,0,414,150,5,2,0,0,0,0,486,105,1,1,0,0,0,201,9,1,0,0,0,0,0,288,86,4,0,0,0,0,0,244,49,1,0,0,0,0,0,0,415,23,19,2,0,0,0,0,560,33,53,1,0,0,0,0,621,8,0,0,0,0,0,1,37,2,0,0,0,0,0,0,50,0,0,0,0,0,0,0,7,0,0,0,0,0,0
86,89,181,38,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,42,0,0,0,0,0,0,112,1,0,0,0,0,0,0,181,3,0,0,0,0,0,0,138,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,90,162,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,94,2,0,0,0,0,0,0,96,2,0,0,0,0,0,0,116,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,91,238,88,4,0,0,0,0,0,0,88,2,0,0,0,0,0,0,103,7,0,0,0,0,0,83,6,0,0,0,0,0,0,71,16,0,0,0,0,0,0,70,9,1,0,0,0,0,0,0,33,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,45,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,95,151,103,9,0,0,0,0,0,0,141,12,0,0,0,0,0,0,135,31,0,0,0,0,0,195,7,0,0,0,0,0,0,232,13,0,0,0,0,0,0,217,5,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,81,16,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93,96,151,179,43,0,0,0,0,0,0,212,23,0,0,0,0,0,0,220,22,0,1,0,0,0,192,10,1,0,0,0,0,0,174,15,2,0,0,0,0,0,208,20,1,5,0,0,0,0,0,512,5,0,0,0,0,0,0,122,3,1,0,0,0,0,0,242,4,0,0,0,0,0,1,25,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,8,2,0,0,0,0,0
94,total,21042,21647,21185,25197,22877,16,15,5,2231,23055,23891,27663,25812,159,109,94,585,26872,23567,28206,31590,33,16,12,20288,22215,19548,19993,20511,22,6,8,22154,24894,23136,22944,16340,497,364,312,21634,25702,22438,23557,22712,36,18,20,378,22420,25210,23463,25190,26,11,6,214,21451,20147,16496,21080,18,14,6,6874,26094,23777,25276,27532,22,19,10,5435,23457,21539,23893,24131,24,11,13,2714,24676,21288,22818,24306,32,10,9,283,24331,23271,21243,24348,21,8,3
95,unmatched,977,314,171,229,189,0,0,0,2224,460,400,460,386,141,100,86,575,521,260,286,370,7,4,2,479,190,205,178,204,1,0,2,856,817,738,789,736,484,359,304,526,235,269,254,318,16,13,18,366,293,238,287,258,1,2,1,190,232,249,173,153,0,3,0,6845,325,275,307,172,2,4,0,5405,288,166,198,164,5,3,6,2679,316,197,276,217,1,0,1,278,297,238,274,270,0,1,0
